"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Caulker, StevenCaulker, S.",6,1,149,0,0,0,0,0,115,45,3,3,0,1,1,0,0,0,0,0,2,3
"Cazorla, SantiCazorla, S.ARS",15,15,1292,2,1,2,53,43,1489,1110,38,7,0,36,14,13,0,1,0,3,8,23
"Cech, PetrCech, P.ARS",34,34,3060,0,0,0,0,0,1195,196,23,0,0,1,5,0,0,0,0,0,0,0
"Celina, BersantCelina, B.MCI",1,0,13,0,0,0,2,2,18,14,0,0,0,2,0,0,0,0,0,1,0,0
"Chadli, NacerChadli, N.TOT",29,10,938,1,0,5,15,0,601,320,14,7,0,19,7,16,0,0,3,2,7,25
"Chamakh, MarouaneChamakh, M.CRY",10,1,250,1,0,4,1,0,132,66,0,0,0,7,7,6,0,0,0,0,1,2
"Chambers, CalumChambers, C.ARS",12,2,315,2,0,0,1,0,254,156,1,7,0,11,3,6,0,0,0,0,1,2
"Chester, JamesChester, J.WBA",13,9,962,5,0,0,11,0,584,219,14,16,0,38,5,12,0,0,0,0,0,0
"Chirivella, PedroChirivella, P.LIV",1,1,45,0,0,0,1,0,34,22,0,0,0,1,0,0,0,0,0,0,0,0
"Cissé, PapissCissé, P.NEW",21,14,1070,1,0,19,10,0,614,289,18,0,0,6,8,14,0,0,3,0,9,22
"Cissokho, AlyCissokho, A.AVL",18,18,1603,3,1,0,75,0,1134,511,7,22,0,38,4,13,0,0,0,0,3,4
"Clark, CiaranClark, C.AVL",18,16,1442,6,0,0,1,0,910,432,61,22,0,36,11,15,0,0,1,0,2,9
"Clarke-Salter, JakeClarke-Salter, J.CHE",1,0,16,0,0,0,0,0,9,6,0,0,0,1,0,0,0,0,0,0,0,0
"Clasie, JordyClasie, J.SOU",22,20,1551,5,0,0,17,10,1048,643,35,10,0,68,8,18,0,0,0,0,1,15
"Cleverley, TomCleverley, T.EVE",22,17,1613,1,0,1,43,26,1170,712,35,5,0,57,19,11,0,0,2,4,7,25
"Clichy, GaelClichy, G.MCI",14,12,1088,0,0,0,36,0,1024,575,25,7,0,49,6,10,0,0,0,1,0,2
"Clyne, NathanielClyne, N.LIV",33,33,2970,6,0,1,85,0,2353,1219,53,19,0,84,26,19,0,0,1,0,6,29
"Coates, SebastiánCoates, S.SUN",16,14,1229,4,0,0,3,0,682,291,47,12,0,65,3,17,0,0,0,1,0,5
"Colback, JackColback, J.NEW",29,28,2396,11,0,0,38,36,1580,907,64,23,0,110,45,50,0,0,1,1,4,15
"Coleman, SeamusColeman, S.EVE",28,27,2386,4,0,8,94,0,1811,911,47,21,0,69,28,20,0,0,1,3,6,27
"Collins, JamesCollins, J.WHU",19,16,1440,3,1,1,3,0,861,424,20,23,0,32,7,12,0,0,0,0,3,13
"Coloccini, FabricioColoccini, F.NEW",26,26,2293,2,1,0,6,0,1218,709,60,47,0,56,8,9,0,0,1,0,3,10
"Connolly, CallumConnolly, C.EVE",1,0,36,0,0,0,2,0,25,8,2,0,0,1,0,0,0,0,0,0,0,0
"Cook, SteveCook, S.BOU",36,36,3195,5,0,1,4,1,2255,1298,88,39,0,48,10,16,0,0,4,0,8,25
"Coquelin, FrancisCoquelin, F.ARS",26,21,1646,5,1,0,17,0,1426,969,56,14,0,100,24,24,0,0,0,0,0,8
"Cork, JackCork, J.SWA",35,28,2544,3,0,2,35,0,2259,1433,63,24,0,125,45,28,0,0,1,2,6,19
"Costa, DiegoCosta, D.CHE",28,27,2379,8,0,33,27,1,1378,623,13,5,0,41,51,43,0,0,12,6,28,67
"Courtois, ThibautCourtois, T.CHE",23,23,2020,1,2,0,0,0,776,96,9,0,0,3,1,2,0,0,0,0,0,0
"Coutinho, PhilippeCoutinho, P.LIV",26,24,2003,2,1,5,67,42,1586,850,25,10,0,40,28,10,0,0,8,5,30,111
"Crespo, JoséCrespo, J.AVL",1,1,90,0,0,0,0,0,32,24,1,0,0,1,1,1,0,0,0,0,0,0
"Cresswell, AaronCresswell, A.WHU",37,37,3315,1,0,1,125,1,2280,1110,60,32,0,68,31,22,0,0,2,4,6,27
"Crouch, PeterCrouch, P.STK",11,4,457,0,0,9,1,0,268,87,1,1,0,8,4,12,0,0,0,1,3,6
"Cuadrado, JuanCuadrado, J.CHE",1,0,26,0,0,0,1,0,20,8,2,0,0,0,2,0,0,0,0,0,1,1
"Cullen, JoshCullen, J.WHU",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniels, CharlieDaniels, C.BOU",37,37,3285,2,0,2,112,12,2632,1384,70,27,0,60,19,10,2,2,3,5,6,20
"Dann, ScottDann, S.CRY",35,35,3150,7,0,5,8,0,1677,827,54,45,0,46,13,20,0,0,5,1,11,30
"Darlow, KarlDarlow, K.NEW",9,9,810,0,0,0,0,0,298,18,3,0,0,1,1,0,0,0,0,0,0,0
"Darmian, MatteoDarmian, M.MUN",28,24,1930,8,0,4,61,0,1471,745,43,19,0,90,22,26,0,0,1,0,1,6
"Davies, BenDavies, B.TOT",17,14,1288,3,0,0,44,0,1070,498,38,17,0,30,8,16,0,0,0,2,2,10
"Davies, TomDavies, T.EVE",2,1,97,0,0,0,1,0,76,38,4,3,0,5,2,2,0,0,0,0,0,1
"Davis, KelvinDavis, K.SOU",1,1,90,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, StevenDavis, S.SOU",34,31,2611,4,0,5,88,62,2048,1274,60,20,0,68,18,18,0,0,5,3,9,21
"Dawson, CraigDawson, C.WBA",38,38,3385,3,0,2,116,0,2299,757,66,55,0,77,29,26,0,0,4,0,8,37
"De Bruyne, KevinDe Bruyne, K.MCI",25,22,2003,2,0,8,131,89,1645,918,19,2,0,36,18,16,0,0,7,9,25,48
"De Gea, DavidDe Gea, D.MUN",34,34,3060,0,0,0,0,0,1048,209,9,0,0,0,1,0,0,0,0,0,0,0
"De Jong, SiemDe Jong, S.NEW",18,3,446,0,0,0,5,3,288,145,8,4,0,18,7,7,0,0,0,1,3,8
"De Laet, RitchieDe Laet, R.LEI",12,7,655,1,0,0,16,0,475,151,33,15,0,28,3,6,0,0,1,0,1,2
"Debuchy, MathieuDebuchy, M.ARS",2,2,144,0,0,0,5,0,136,54,12,2,0,10,1,3,0,0,0,0,0,1
"Deeney, TroyDeeney, T.WAT",38,36,3291,6,0,18,43,2,2120,750,25,11,0,60,37,50,6,7,13,7,31,94
"Defoe, JermainDefoe, J.SUN",33,28,2550,3,0,43,20,0,780,310,5,3,0,25,34,17,1,1,15,1,39,85
"Delaney, DamienDelaney, D.CRY",32,32,2880,2,0,0,12,0,1576,775,29,50,0,53,15,18,0,0,2,3,6,21
"Delph, FabianDelph, F.MCI",17,8,753,0,0,0,12,0,641,406,8,4,0,35,9,7,0,0,2,0,5,13
"Dembélé, MousaDembélé, M.TOT",29,27,2273,3,0,2,10,0,1836,1205,51,20,0,115,32,48,0,0,3,1,9,22
"Demichelis, MartínDemichelis, M.MCI",20,10,1015,3,0,0,1,1,762,491,18,6,0,44,9,12,0,0,0,0,0,6
"Deulofeu, GerardDeulofeu, G.EVE",26,16,1384,2,0,2,126,31,908,403,20,1,0,19,14,3,0,0,2,8,6,10
"Diamanti, AlessandroDiamanti, A.WAT",3,0,65,0,0,0,4,2,68,32,1,0,0,1,3,1,0,0,0,0,0,1
"Dier, EricDier, E.TOT",37,37,3266,10,0,0,42,0,2608,1680,80,33,0,129,24,52,0,0,3,2,7,31
"Diouf, MameDiouf, M.STK",26,12,1269,3,0,8,10,0,518,180,16,5,0,19,26,22,0,0,5,1,17,30
"Distin, SylvainDistin, S.BOU",12,9,842,0,0,1,0,0,615,364,40,6,0,20,1,3,0,0,0,0,0,1
"Dodoo, JoeDodoo, J.LEI",1,0,19,0,0,0,0,0,13,3,0,0,0,0,1,2,0,0,0,0,0,0
"Dorrans, GrahamDorrans, G.NOR",21,14,1287,2,0,1,13,3,938,618,32,10,0,31,3,15,0,0,0,1,3,14
"Doumbia, SeydouDoumbia, S.NEW",3,0,29,0,0,0,0,0,21,7,0,0,0,0,1,0,0,0,0,0,1,1
"Dowell, KieranDowell, K.EVE",2,1,72,0,0,0,2,0,52,28,0,2,0,1,0,1,0,0,0,0,0,0
"Drinkwater, DanielDrinkwater, D.LEI",35,35,3038,3,1,0,72,6,2571,1529,80,15,0,116,25,52,0,0,2,7,9,42
"Dummett, PaulDummett, P.NEW",23,23,1896,3,0,0,35,1,1185,470,19,45,0,60,9,13,0,0,1,0,1,5
"Dyer, NathanDyer, N.",13,0,231,1,0,0,7,0,154,63,1,1,0,8,10,9,0,0,1,1,2,5
"ÉderÉderSWA",13,2,269,0,0,1,2,0,147,58,2,0,0,2,9,9,0,0,0,0,1,5
"Elliot, RobElliot, R.NEW",21,21,1890,1,0,0,0,0,837,68,7,0,0,0,3,0,0,0,0,0,0,0
"Elneny, MohamedElneny, M.ARS",11,9,794,3,0,0,7,6,845,669,6,9,0,17,11,9,0,0,0,1,2,13
"Elphick, TommyElphick, T.BOU",12,11,1012,1,0,0,0,0,638,370,50,8,0,14,7,9,0,0,1,0,2,4
"Emenike, EmmanuelEmenike, E.WHU",13,5,509,0,0,7,8,0,265,105,2,1,0,3,8,5,0,0,0,0,2,10
"Emnes, MarvinEmnes, M.SWA",2,1,66,0,0,0,1,0,31,10,0,1,0,3,0,0,0,0,0,0,0,1
"Eriksen, ChristianEriksen, C.TOT",35,33,2938,2,0,0,146,129,2598,1516,43,11,0,50,17,13,0,0,6,13,41,99
"Evans, JonnyEvans, J.WBA",30,30,2593,4,0,0,27,0,1574,746,56,40,0,101,21,23,0,0,1,1,1,7
"Fabianski, LukaszFabianski, L.SWA",37,37,3330,1,0,0,1,0,1399,281,31,0,0,0,9,1,0,0,0,1,0,1
"Fàbregas, CescFàbregas, C.CHE",37,33,2896,5,0,4,142,68,3378,2352,56,20,0,147,41,38,2,2,5,7,19,45
"Falcao, RadamelFalcao, R.CHE",10,1,228,1,0,2,0,0,129,55,1,0,0,6,5,7,0,0,1,0,5,11
"Federici, AdamFederici, A.BOU",6,6,495,0,0,0,0,0,158,43,0,0,0,0,0,0,0,0,0,0,0,0
"Fellaini, MarouaneFellaini, M.MUN",18,12,1068,2,0,4,4,0,849,484,8,8,0,41,13,32,0,0,1,0,8,23
"Fer, LeroyFer, L.SWA",11,9,757,2,0,0,2,0,584,366,5,3,0,38,14,14,0,0,0,2,1,5
"Fernández, FedeFernández, F.SWA",32,32,2880,3,0,2,3,0,2246,1466,64,31,0,93,22,31,0,0,1,1,3,18
"FernandinhoFernandinhoMCI",33,31,2732,8,0,0,22,0,2391,1611,78,12,0,146,33,55,0,0,2,2,4,29
"FernandoFernandoMCI",24,17,1713,4,0,1,2,0,1194,823,19,12,0,92,10,26,0,0,2,0,5,15
"Field, SamField, S.WBA",1,0,4,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0
"Firmino, RobertoFirmino, R.LIV",31,24,1981,1,0,14,50,10,1464,740,19,13,0,71,20,29,0,0,10,7,25,62
"Flamini, MathieuFlamini, M.ARS",16,12,1089,3,0,0,4,0,794,529,10,11,0,57,3,18,0,0,0,0,2,7
"Flanagan, JonFlanagan, J.LIV",5,5,421,1,0,0,7,0,358,206,4,4,0,21,1,7,0,0,0,1,0,0
"Fletcher, DarrenFletcher, D.WBA",38,38,3374,3,0,0,50,2,1948,1093,59,18,0,56,29,19,0,0,1,3,3,22
"Fletcher, StevenFletcher, S.SUN",16,11,1016,0,0,8,13,0,563,170,6,7,0,18,18,18,0,0,4,0,11,25
"Fonte, JoséFonte, J.SOU",37,37,3168,4,1,1,8,0,2179,1344,54,33,0,73,11,21,0,0,2,1,7,20
"Forster, FraserForster, F.SOU",18,18,1620,0,0,0,0,0,525,54,3,0,0,0,0,0,0,0,0,0,0,0
"Foster, BenFoster, B.WBA",15,15,1350,1,0,0,0,0,473,23,6,0,0,0,0,0,0,0,0,0,0,0
"Fosu-Mensah, TimothyFosu-Mensah, T.MUN",8,2,254,1,0,0,3,0,205,100,7,1,0,19,2,2,0,0,0,1,0,2
"Francis, SimonFrancis, S.BOU",38,38,3387,5,1,3,94,12,3042,1649,105,33,0,92,9,35,0,0,0,4,1,7
"Fuchs, ChristianFuchs, C.LEI",32,30,2710,4,0,0,117,64,2161,878,47,58,0,130,12,33,0,0,0,4,8,19
"Fulton, JayFulton, J.SWA",2,0,20,0,0,0,0,0,19,9,0,2,0,5,0,1,0,0,0,0,0,0
"Funes Mori, RamiroFunes Mori, R.EVE",28,24,2191,4,1,2,6,0,1777,1063,45,22,0,62,11,8,0,0,4,1,8,24
"GabrielGabrielARS",21,18,1761,4,1,0,0,0,1395,955,35,23,0,56,10,9,0,0,1,0,4,11
"Galloway, BrendanGalloway, B.EVE",15,14,1223,2,0,0,15,0,750,335,32,17,0,57,29,9,0,0,0,1,0,8
"Gamboa, CristianGamboa, C.WBA",1,0,27,1,0,1,1,0,25,9,4,0,0,0,1,1,0,0,0,0,0,1
"García, ManuGarcía, M.MCI",1,0,10,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0
"Gardner, CraigGardner, C.WBA",34,20,2033,5,0,8,87,50,1102,433,26,17,0,50,27,42,0,1,3,3,10,46
"Gayle, DwightGayle, D.CRY",16,8,768,1,1,2,9,0,308,95,0,1,0,16,35,20,0,0,3,0,8,22
"Gazzaniga, PauloGazzaniga, P.SOU",2,2,180,0,0,0,0,0,72,10,1,0,0,1,0,0,0,0,0,0,0,0
"Gestede, RudyGestede, R.AVL",32,14,1657,2,0,6,2,0,992,302,6,2,0,13,12,24,0,0,5,2,18,59
"Gibbs, KieranGibbs, K.ARS",15,3,381,0,0,2,8,1,305,147,3,6,0,12,6,3,0,0,1,0,1,5
"Gibson, DarronGibson, D.EVE",7,2,239,3,0,0,1,0,225,153,9,6,0,5,0,4,0,0,0,1,1,2
"Gil, CarlesGil, C.AVL",23,17,1440,3,0,2,43,31,1038,645,10,9,0,23,27,3,0,0,2,0,5,17
"Giroud, OlivierGiroud, O.ARS",38,26,2424,2,0,26,28,0,1320,552,7,7,0,49,33,40,1,1,16,6,42,103
"Given, ShayGiven, S.STK",3,3,225,1,0,0,0,0,70,3,0,0,0,0,1,0,0,0,0,0,0,0
"Gnabry, SergeGnabry, S.WBA",1,0,12,0,0,0,0,2,13,7,0,0,0,1,0,2,0,0,0,0,1,2
"Gomes, HeurelhoGomes, H.WAT",38,38,3397,4,0,0,0,0,1405,93,23,1,0,0,6,2,0,0,0,0,0,0
"Gomez, JoeGomez, J.LIV",5,5,438,3,0,0,5,0,369,185,39,4,0,15,1,9,0,0,0,1,0,1
"Gómez, JordiGómez, J.SUN",6,5,355,0,0,0,4,4,211,133,4,5,0,13,5,4,0,0,0,0,1,2
"Gomis, BafetimbiGomis, B.SWA",33,18,1694,0,0,38,9,0,798,383,7,2,0,21,19,17,1,1,6,0,17,58
"Gosling, DanGosling, D.BOU",34,28,2441,6,0,1,15,1,1685,1001,55,19,0,64,42,31,0,0,3,1,11,40
"Gouffran, YoanGouffran, Y.NEW",8,2,224,0,0,0,7,1,159,73,8,4,0,8,1,3,0,0,0,0,1,2
"Grabban, LewisGrabban, L.",21,7,820,2,0,6,13,2,446,236,4,2,0,15,4,10,0,0,1,0,9,19
"Gradel, Max-AlainGradel, M.BOU",14,11,899,1,0,3,39,13,553,216,13,7,0,22,26,11,0,0,1,2,6,18
"Graham, DannyGraham, D.SUN",10,4,358,0,0,1,2,0,136,47,3,0,0,4,6,8,0,0,0,0,2,4
"Gray, DemaraiGray, D.LEI",12,1,177,0,0,0,6,7,158,68,1,3,0,14,4,3,0,0,0,1,3,5
"Grealish, JackGrealish, J.AVL",16,9,832,1,0,0,11,4,470,252,9,2,0,9,17,6,0,0,1,0,4,15
"Green, AndréGreen, A.AVL",2,0,57,0,0,0,6,1,48,20,1,0,0,2,0,0,0,0,0,0,0,1
"Greenwood, ReesGreenwood, R.SUN",1,1,52,0,0,0,2,1,35,22,1,0,0,3,0,1,0,0,0,0,0,0
"Grimes, MattGrimes, M.SWA",1,1,90,0,0,0,1,0,55,30,0,1,0,1,1,3,0,0,0,0,0,1
"Guedioura, AdlèneGuedioura, A.WAT",18,3,421,2,0,0,26,16,419,183,10,2,0,21,7,13,0,0,0,2,3,13
