"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Defoe, JermainDefoe, J.TOT",14,3,423,1,0,3,2,0,139,58,6,1,0,0,5,6,0,0,1,0,8,20
"Dejagah, AshkanDejagah, A.FUL",22,13,1301,5,0,4,58,17,751,342,55,14,0,6,22,18,0,0,5,2,9,22
"Delaney, DamienDelaney, D.CP",37,37,3285,9,0,1,7,0,1336,452,156,41,0,27,13,28,0,0,1,1,6,14
"Delph, FabianDelph, F.AST",34,33,3003,7,0,1,40,10,1825,1042,182,26,0,31,61,32,0,0,3,2,9,36
"Dembele, MoussaDembele, M.FUL",2,1,88,0,0,2,1,0,22,11,1,0,0,0,0,0,0,0,0,0,1,3
"Dembele, MoussaDembele, M.TOT",28,22,1819,5,0,0,11,2,1282,840,118,4,0,10,29,34,0,0,1,1,5,15
"Demel, GuyDemel, G.WHU",32,30,2638,3,0,1,67,0,1612,610,161,27,0,19,17,29,0,0,1,0,3,12
"Demichelis, MartínDemichelis, M.MCY",27,27,2430,6,0,0,2,0,1998,1305,264,20,0,29,4,19,0,0,2,1,5,15
"Dempsey, ClintDempsey, C.FUL",5,4,355,0,0,3,0,0,94,50,2,1,0,0,4,6,0,0,0,0,1,8
"Deulofeu, GerardDeulofeu, G.EVE",25,9,893,1,0,3,41,28,483,194,28,6,0,2,9,8,0,0,3,3,20,31
"Diaby, AbouDiaby, A.ARS",1,0,16,0,0,0,0,0,14,12,1,0,0,0,0,0,0,0,0,0,0,0
"Diakite, MobidoDiakite, M.SUN",7,7,630,0,0,1,0,0,418,203,56,9,0,5,11,9,0,0,0,0,0,3
"Diame, MohamedDiame, M.WHU",35,29,2484,4,0,1,68,0,1163,483,90,20,0,35,35,42,0,0,4,2,17,59
"Diarra, AlouDiarra, A.WHU",3,1,113,1,0,0,0,0,45,21,11,0,0,1,0,4,0,0,0,0,0,2
"Diarra, MahamadouDiarra, M.FUL",4,4,338,1,0,0,3,0,201,122,23,3,0,3,3,5,0,0,0,0,0,1
"Dikgacoi, KagishoDikgacoi, K.CP",26,25,1955,3,1,0,8,1,839,441,88,11,0,11,14,19,0,0,0,0,6,16
"Distin, SylvainDistin, S.EVE",33,33,2925,3,0,4,8,0,2179,1330,171,41,0,10,13,11,0,0,0,0,2,12
"Dobbie, StephenDobbie, S.CP",1,1,66,0,0,0,3,1,41,22,3,0,0,1,0,0,0,0,0,0,0,0
"Dorrans, GrahamDorrans, G.WBA",14,12,1106,4,0,0,32,41,609,321,61,8,0,9,12,10,0,0,2,0,7,18
"Dossena, AndreaDossena, A.SUN",7,6,490,1,1,0,19,0,353,126,30,9,0,2,2,6,0,0,0,0,0,4
